,id,premium,name,department,has_test,response_letter_required,area,salary,type,address,published_at,insider_interview,url,employer,snippet,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,lng,lati,Density,published_at_date,OblastiRF,lngi,Count_word
0,77398046,0,Продавец в магазин LS (ТРЦ Кристалл),,0,0,Тюмень,45000.0,1,"{'city': 'Тюмень', 'street': 'улица Дмитрия Менделеева', 'building': '1А', 'lat': 57.117362, 'lng': 65.549581, 'description': None, 'raw': 'Тюмень, улица Дмитрия Менделеева, 1А', 'metro': None, 'metro_stations': [], 'id': '11399719'}",2023-03-20T06:02:27+0300,,https://api.hh.ru/vacancies/77398046?host=hh.ru,Лемарон,Встречать покупателя с улыбкой и готовностью подобрать идеальные джинсы. Поддерживать порядок в магазине. Желание находить контакт с людьми. ,,,,0,"Продавец-консультант, продавец-кассир",1,65.549581,57.117362,581758.0,2023-03-20,Тюменская область,65.549581,18
1,77500783,0,"Менеджер чатов, на дому (в Яндекс)",,0,0,Россия,33000.0,1,0,2023-03-21T18:06:50+0300,,https://api.hh.ru/vacancies/77500783?host=hh.ru,Яндекс,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,,,,0,Другое,1,,,,2023-03-21,Москва,0.0,19
2,77501114,0,"Менеджер чатов, удалённо (в Яндекс)",,0,0,Россия,33000.0,1,0,2023-03-21T18:09:06+0300,,https://api.hh.ru/vacancies/77501114?host=hh.ru,Яндекс,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,,,,0,Другое,1,,,,2023-03-21,Москва,0.0,19
3,77500573,0,"Оператор на входящие сообщения (удаленно, в Яндекс)",,0,0,Россия,33000.0,1,0,2023-03-21T18:05:26+0300,,https://api.hh.ru/vacancies/77500573?host=hh.ru,Яндекс,Способен работать в команде. Способен принимать решения самостоятельно. Готов учиться и узнавать новое. Опыт работы в колл-центре или службе...,,,,0,"Оператор call-центра, специалист контактного центра",1,,,,2023-03-21,Москва,0.0,19
4,77500216,0,"Диспетчер, удаленно (в Я.Такси)",,0,0,Россия,33000.0,1,0,2023-03-21T18:01:08+0300,,https://api.hh.ru/vacancies/77500216?host=hh.ru,Яндекс,Опыт работы не требуется. Обязательно наличие ПК или ноутбука. Будет плюсом опыт работы на вакансиях:,,,1.0,0,Диспетчер,1,,,,2023-03-21,Москва,0.0,15
5,78358899,0,Водитель категории В,,0,0,Тюмень,110000.0,1,0,2023-03-21T14:06:03+0300,,https://api.hh.ru/vacancies/78358899?host=hh.ru,Департамент Ф53,Пунктуальность. Ответственность. Возможно без опыта.,1.0,1.0,1.0,1,Водитель,0,,,581758.0,2023-03-21,Тюменская область,0.0,5
6,78174724,0,Продавец-консультант,"{'id': '2343-2343-rozn', 'name': 'Компания «СПОРТМАСТЕР», Розничные продажи'}",0,0,Россия,40000.0,1,0,2023-03-17T11:29:17+0300,,https://api.hh.ru/vacancies/78174724?host=hh.ru,Спортмастер,Любящие людей и общение. Любознательные и стремящиеся к новым знаниям.,,,,0,"Продавец-консультант, продавец-кассир",1,,,,2023-03-17,Москва,0.0,10
7,77354523,0,Аналитик,,0,0,Москва,25000.0,1,0,2023-02-23T14:32:11+0300,,https://api.hh.ru/vacancies/77354523?host=hh.ru,Энгельс Элина Сергеевна,"Ищем в командиру системного человек. Не столько важен твой опыт, сколько твоя способность думать системно, выявлять закономерности и превращать их...",1.0,1.0,1.0,1,Аналитик,0,,,11514330.0,2023-02-23,Москва,0.0,20
8,77283148,0,Медсестра/медбрат,,0,0,Новый Уренгой,93682.0,1,0,2023-03-04T23:31:39+0300,,https://api.hh.ru/vacancies/77283148?host=hh.ru,СТРОЙГАЗТЕХНОЛОГИИ,умение пользоваться алкотестерами. Опыт работы на вахте. Образование специализированное (мед). Знание санитарного-эпидемиологического режима.,,,,0,"Медицинская сестра, медицинский брат",1,,,104144.0,2023-03-04,Ямало-Ненецкий авт. окр.,0.0,13
9,77517745,0,Ритуальный агент (специалист по организации похорон),,0,0,Санкт-Петербург,99000.0,1,"{'city': 'Санкт-Петербург', 'street': 'улица Типанова', 'building': '18', 'lat': 59.851896, 'lng': 30.334275, 'description': None, 'raw': 'Санкт-Петербург, улица Типанова, 18', 'metro': None, 'metro_stations': [], 'id': '6297371'}",2023-03-01T07:12:57+0300,,https://api.hh.ru/vacancies/77517745?host=hh.ru,Светлый путь,Высшее образование будет вашим преимуществом. Опыт работы ритуальным агентом или эффективным продаваном.,,,,0,Полицейский,0,30.334275,59.851896,4848742.0,2023-03-01,Санкт-Петербург,30.334275,12
